# module version SPDX-license-identifier
github.com/aws/aws-sdk-go-v2 v1.42.1 Apache-2.0
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream v1.7.14 Apache-2.0
github.com/aws/aws-sdk-go-v2/config v1.32.30 Apache-2.0
github.com/aws/aws-sdk-go-v2/credentials v1.19.29 Apache-2.0
github.com/aws/aws-sdk-go-v2/feature/ec2/imds v1.18.30 Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/configsources v1.4.30 Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2 v2.7.30 Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/v4a v1.4.31 Apache-2.0
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding v1.13.13 Apache-2.0
github.com/aws/aws-sdk-go-v2/service/internal/checksum v1.9.23 Apache-2.0
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url v1.13.30 Apache-2.0
github.com/aws/aws-sdk-go-v2/service/internal/s3shared v1.19.31 Apache-2.0
github.com/aws/aws-sdk-go-v2/service/s3 v1.105.2 Apache-2.0
github.com/aws/aws-sdk-go-v2/service/signin v1.4.1 Apache-2.0
github.com/aws/aws-sdk-go-v2/service/sso v1.32.1 Apache-2.0
github.com/aws/aws-sdk-go-v2/service/ssooidc v1.37.1 Apache-2.0
github.com/aws/aws-sdk-go-v2/service/sts v1.44.1 Apache-2.0
github.com/aws/smithy-go v1.27.4 Apache-2.0
github.com/fsnotify/fsnotify v1.10.1 BSD-3-Clause
github.com/hanwen/go-fuse/v2 v2.10.1 BSD-3-Clause
github.com/inconshreveable/mousetrap v1.1.0 Apache-2.0
github.com/restic/chunker v0.5.0 BSD-2-Clause
github.com/spf13/cobra v1.10.2 Apache-2.0
github.com/spf13/pflag v1.0.9 BSD-3-Clause
# Direct dependency: Windows durable-state cross-process locking.
golang.org/x/sys v0.47.0 BSD-3-Clause
